,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG
65,Celta Vigo,30,25.8,51.7,38,418,"3,420",38.0,37,26,31,6,9,104,6,0.97,0.68,1.66,0.82,1.50,39.2,32.4,26.2,58.7,1.03,0.69,1.72,0.85,1.54
66,Eibar,26,29.3,46.3,38,418,"3,420",38.0,38,24,31,7,10,92,3,1.00,0.63,1.63,0.82,1.45,42.0,34.2,26.0,60.2,1.10,0.68,1.79,0.90,1.58
67,Espanyol,31,27.7,47.4,38,418,"3,420",38.0,25,17,21,4,4,107,9,0.66,0.45,1.11,0.55,1.00,38.6,35.6,27.3,62.9,1.02,0.72,1.74,0.94,1.66
68,Getafe,30,27.5,45.0,38,418,"3,420",38.0,42,31,36,6,7,135,5,1.11,0.82,1.92,0.95,1.76,41.6,36.1,27.9,64.0,1.09,0.73,1.83,0.95,1.69
69,Granada,27,26.8,43.8,38,418,"3,420",38.0,50,34,45,5,5,109,1,1.32,0.89,2.21,1.18,2.08,44.9,40.9,30.5,71.4,1.18,0.80,1.98,1.08,1.88
70,Leganés,29,26.9,43.9,38,418,"3,420",38.0,30,19,27,3,5,127,4,0.79,0.50,1.29,0.71,1.21,39.9,35.9,27.7,63.7,1.05,0.73,1.78,0.95,1.68
71,Levante,29,27.7,48.3,38,418,"3,420",38.0,45,28,40,5,5,79,5,1.18,0.74,1.92,1.05,1.79,48.1,44.2,36.3,80.5,1.27,0.95,2.22,1.16,2.12
72,Mallorca,32,26.8,45.0,38,418,"3,420",38.0,39,21,31,8,10,93,5,1.03,0.55,1.58,0.82,1.37,41.1,33.3,25.4,58.7,1.08,0.67,1.75,0.88,1.55
73,Osasuna,31,27.7,47.4,38,418,"3,420",38.0,46,26,38,8,8,110,6,1.21,0.68,1.89,1.00,1.68,49.4,43.2,34.4,77.6,1.30,0.91,2.21,1.14,2.04
74,Real Madrid,26,27.6,58.8,38,418,"3,420",38.0,69,52,58,11,11,82,4,1.82,1.37,3.18,1.53,2.89,67.9,59.2,49.9,109.1,1.79,1.31,3.10,1.56,2.87
75,Real Sociedad,27,24.8,56.2,38,418,"3,420",38.0,54,38,50,4,5,79,2,1.42,1.00,2.42,1.32,2.32,48.9,45.1,35.4,80.5,1.29,0.93,2.22,1.19,2.12
76,Sevilla,26,27.7,57.9,38,418,"3,420",38.0,53,35,46,7,7,97,1,1.39,0.92,2.32,1.21,2.13,53.2,47.9,38.4,86.3,1.40,1.01,2.41,1.26,2.27
77,Valencia,28,27.0,49.0,38,418,"3,420",38.0,45,34,40,5,8,80,8,1.18,0.89,2.08,1.05,1.95,43.3,37.2,31.7,68.9,1.14,0.83,1.97,0.98,1.81
78,Valladolid,30,27.1,44.7,38,418,"3,420",38.0,31,19,28,3,6,84,0,0.82,0.50,1.32,0.74,1.24,36.5,32.1,24.0,56.1,0.96,0.63,1.59,0.84,1.48
79,Villarreal,25,27.6,52.9,38,418,"3,420",38.0,62,40,52,10,11,78,1,1.63,1.05,2.68,1.37,2.42,63.6,55.2,43.1,98.3,1.67,1.13,2.81,1.45,2.59
80,Alavés,26,26.7,42.7,38,418,"3,420",38.0,39,27,37,2,3,101,1,1.03,0.71,1.74,0.97,1.68,41.1,38.8,29.0,67.8,1.08,0.76,1.85,1.02,1.79
81,Athletic Club,27,27.6,50.0,38,418,"3,420",38.0,39,26,34,5,7,118,4,1.03,0.68,1.71,0.89,1.58,43.4,37.8,30.7,68.5,1.14,0.81,1.95,0.99,1.80
82,Atlético Madrid,29,26.4,49.2,38,418,"3,420",38.0,53,36,50,3,4,100,5,1.39,0.95,2.34,1.32,2.26,47.3,44.1,35.3,79.5,1.24,0.93,2.17,1.16,2.09
83,Barcelona,30,27.7,64.4,38,418,"3,420",38.0,88,61,80,8,9,76,2,2.32,1.61,3.92,2.11,3.71,75.8,68.7,55.8,124.6,1.99,1.47,3.46,1.81,3.28
84,Betis,25,26.7,61.8,38,418,"3,420",38.0,43,30,38,5,7,89,1,1.13,0.79,1.92,1.00,1.79,47.1,41.5,32.9,74.4,1.24,0.87,2.10,1.09,1.96
85,Celta Vigo,28,25.5,51.6,38,418,"3,420",38.0,52,37,45,7,7,79,6,1.37,0.97,2.34,1.18,2.16,46.5,41.2,33.6,74.8,1.22,0.88,2.11,1.08,1.97
86,Eibar,25,28.5,54.0,38,418,"3,420",38.0,46,26,39,7,8,81,2,1.21,0.68,1.89,1.03,1.71,54.8,48.6,36.7,85.3,1.44,0.96,2.41,1.28,2.24
87,Espanyol,25,27.7,49.4,38,418,"3,420",38.0,43,26,39,4,4,90,2,1.13,0.68,1.82,1.03,1.71,48.9,45.8,33.8,79.6,1.29,0.89,2.18,1.21,2.10
88,Getafe,26,27.5,40.7,38,418,"3,420",38.0,47,34,41,6,6,107,7,1.24,0.89,2.13,1.08,1.97,46.2,41.6,32.9,74.4,1.22,0.87,2.08,1.09,1.96
89,Girona,26,26.6,48.0,38,418,"3,420",38.0,37,23,31,6,6,81,4,0.97,0.61,1.58,0.82,1.42,43.5,39.3,29.3,68.6,1.14,0.77,1.91,1.04,1.81
90,Huesca,30,26.7,44.5,38,418,"3,420",38.0,43,28,37,6,7,113,3,1.13,0.74,1.87,0.97,1.71,50.8,45.4,34.6,80.0,1.34,0.91,2.25,1.19,2.10
